arch_seq,id,objective,elapsed_sec,duration
"[90, 2, 1, 61, 4, 0, 1, 171, 5, 1, 1, 1, 37, 2, 0, 0, 0, 0, 65, 7, 0, 1, 1, 0, 14, 2, 0, 0, 1, 0, 166, 3, 1, 0, 0, 1]",22,0.1573859453201294,23081.583544015884,23076.077311992645
"[133, 9, 1, 62, 2, 0, 0, 62, 1, 0, 0, 0, 157, 2, 0, 1, 1, 0, 132, 8, 1, 1, 1, 0, 163, 8, 1, 1, 1, 1, 140, 2, 0, 1, 0, 1]",15,0.37232232093811035,23095.878381967545,23090.372559309006
"[94, 2, 1, 109, 3, 0, 1, 107, 2, 1, 1, 0, 32, 0, 1, 0, 0, 1, 8, 2, 0, 1, 1, 1, 2, 2, 0, 0, 1, 1, 13, 10, 0, 0, 0, 0]",44,0.25176385045051575,24262.265420675278,21587.895694494247
"[19, 0, 0, 106, 5, 1, 1, 71, 2, 0, 0, 0, 22, 2, 1, 0, 0, 0, 71, 5, 1, 1, 1, 0, 135, 2, 1, 0, 1, 1, 167, 4, 1, 0, 1, 0]",35,0.28104695677757263,25593.338070631027,25587.831115961075
"[116, 3, 0, 89, 6, 1, 1, 140, 9, 1, 0, 0, 134, 0, 1, 0, 0, 1, 173, 8, 1, 0, 1, 1, 64, 6, 0, 0, 1, 1, 167, 4, 1, 0, 0, 1]",47,0.3207695484161377,25701.395124673843,17507.62621498108
"[110, 6, 0, 39, 2, 0, 1, 163, 8, 1, 0, 1, 129, 0, 1, 0, 0, 0, 47, 2, 1, 1, 1, 0, 144, 6, 0, 0, 0, 1, 122, 10, 1, 0, 0, 0]",34,0.18186914920806885,25832.719665288925,25827.21277141571
"[70, 0, 1, 20, 2, 1, 1, 139, 8, 0, 0, 0, 37, 6, 1, 1, 1, 1, 33, 2, 1, 1, 0, 0, 2, 2, 0, 0, 1, 0, 23, 0, 1, 1, 1, 0]",9,0.23534607887268066,26371.787628412247,26366.282199382782
"[174, 2, 1, 149, 5, 1, 0, 34, 10, 1, 1, 1, 2, 10, 1, 1, 1, 0, 153, 2, 1, 1, 1, 1, 67, 8, 1, 0, 1, 1, 70, 7, 0, 0, 0, 0]",38,0.1597353219985962,26380.029612779617,26374.52249789238
"[60, 7, 1, 55, 4, 0, 0, 33, 4, 0, 0, 1, 84, 1, 0, 1, 1, 1, 15, 4, 1, 0, 0, 1, 168, 4, 1, 0, 1, 0, 16, 1, 0, 1, 0, 0]",42,0.1956687569618225,26389.64301300049,25217.446501016617
"[119, 9, 1, 119, 1, 0, 0, 114, 1, 0, 1, 1, 32, 3, 1, 1, 0, 1, 158, 10, 0, 0, 1, 0, 176, 10, 1, 0, 1, 1, 102, 5, 1, 0, 1, 0]",13,0.22699794173240662,26851.746156930923,26846.240443468094
"[38, 1, 1, 163, 0, 1, 1, 93, 7, 0, 0, 0, 41, 3, 1, 1, 0, 0, 19, 3, 1, 0, 0, 1, 73, 0, 1, 0, 0, 0, 39, 9, 0, 0, 0, 0]",8,0.17516322433948517,27817.295754671097,27811.79038453102
"[64, 8, 1, 68, 0, 1, 0, 50, 3, 1, 0, 0, 40, 0, 1, 1, 0, 1, 131, 4, 1, 1, 0, 0, 164, 5, 0, 0, 0, 0, 65, 9, 0, 1, 0, 1]",41,0.174899160861969,28315.07695698738,27294.787891626358
"[21, 2, 1, 70, 1, 1, 0, 103, 2, 0, 1, 1, 92, 3, 1, 0, 1, 0, 130, 10, 0, 0, 1, 1, 115, 7, 0, 1, 1, 1, 110, 7, 1, 0, 1, 0]",32,0.14842449128627777,28575.054572343826,28569.547792196274
"[67, 0, 0, 102, 9, 0, 0, 142, 0, 0, 0, 0, 22, 10, 0, 0, 0, 1, 145, 10, 0, 1, 0, 0, 2, 7, 0, 1, 0, 0, 130, 3, 0, 1, 0, 0]",10,0.2970047891139984,28729.24175786972,28723.73622393608
"[173, 8, 0, 109, 1, 0, 0, 92, 10, 0, 1, 1, 0, 1, 1, 1, 0, 0, 169, 10, 0, 1, 0, 0, 57, 9, 1, 1, 1, 0, 121, 0, 1, 1, 0, 0]",73,2.4637043476104736,28813.477139234543,1961.7280251979828
"[133, 1, 0, 60, 9, 0, 1, 13, 7, 1, 0, 0, 96, 8, 1, 1, 1, 0, 23, 9, 1, 0, 0, 0, 51, 1, 1, 1, 1, 1, 97, 1, 0, 1, 1, 1]",54,0.3848082721233368,30175.076418161392,12555.113496541977
"[104, 1, 1, 171, 7, 0, 1, 2, 4, 0, 1, 1, 89, 5, 0, 1, 0, 0, 104, 2, 0, 0, 0, 1, 95, 8, 0, 1, 1, 1, 22, 6, 0, 0, 1, 1]",55,0.22539794445037842,30372.426881551743,12101.488595247269
